"siteID"	"xcoord"	"ycoord"	"wgt"	"Strahler_Cat"	"Status"	"TNT"	"IBI_Score"	"IBI_Status"	"QHEI_Score"	"QHEI_Status"
"INRB98-001"	7574790.15522176	12556023.4725642	180.49965	"1st"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"INRB98-002"	7490591.0218671	12580091.5841923	180.49965	"1st"	"Sampled"	"Target"	50	"Not_Impaired"	48	"Impaired"
"INRB98-003"	7500190.65705832	12545177.4836554	57.70535	"2nd"	"Sampled"	"Target"	22	"Impaired"	65	"Not_Impaired"
"INRB98-004"	7543102.85939428	12557747.0988776	26.40031	"4th"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"INRB98-005"	7459316.67351411	12689534.7785467	29.59298	"3rd"	"Sampled"	"Target"	38	"Not_Impaired"	31	"Impaired"
"INRB98-006"	7515603.60013364	12649037.4847935	57.70535	"2nd"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"INRB98-007"	7494349.04847422	12672968.1905909	180.49965	"1st"	"Sampled"	"Target"	34	"Not_Impaired"	49	"Impaired"
"INRB98-008"	7478581.79695597	12639507.8793511	180.49965	"1st"	"Sampled"	"Target"	38	"Not_Impaired"	60	"Not_Impaired"
"INRB98-009"	7478740.83954425	12627077.1562896	26.40031	"4th"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"INRB98-010"	7437593.39913854	12604645.6871859	26.40031	"4th"	"Sampled"	"Target"	52	"Not_Impaired"	61	"Not_Impaired"
"INRB98-011"	7565298.27236505	12559461.2695205	29.59298	"3rd"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"INRB98-012"	7502396.30308883	12574482.5464231	180.49965	"1st"	"Sampled"	"Target"	32	"Not_Impaired"	55	"Not_Impaired"
"INRB98-013"	7492478.48675031	12551933.9656736	180.49965	"1st"	"Sampled"	"Target"	42	"Not_Impaired"	42	"Impaired"
"INRB98-014"	7528181.49047271	12594954.2882591	29.59298	"3rd"	"Sampled"	"Target"	54	"Not_Impaired"	85	"Not_Impaired"
"INRB98-015"	7489098.19545622	12669847.2189736	26.40031	"4th"	"Sampled"	"Target"	42	"Not_Impaired"	81	"Not_Impaired"
"INRB98-016"	7513210.87617	12608833.0220185	57.70535	"2nd"	"Sampled"	"Target"	28	"Impaired"	52	"Not_Impaired"
"INRB98-017"	7505511.06433346	12663646.7904066	26.40031	"4th"	"Sampled"	"Target"	38	"Not_Impaired"	74	"Not_Impaired"
"INRB98-018"	7481166.21632918	12654540.1909481	57.70535	"2nd"	"Sampled"	"Target"	42	"Not_Impaired"	74	"Not_Impaired"
"INRB98-019"	7485000.99635012	12635133.6546483	57.70535	"2nd"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"INRB98-020"	7443086.34396516	12625901.108696	26.40031	"4th"	"Sampled"	"Target"	50	"Not_Impaired"	77	"Not_Impaired"
"INRB98-021"	7558858.83561071	12541145.5833589	180.49965	"1st"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"INRB98-022"	7494996.40486551	12563224.3582647	180.49965	"1st"	"Sampled"	"Target"	36	"Not_Impaired"	60	"Not_Impaired"
"INRB98-023"	7480939.42838285	12551021.1563192	29.59298	"3rd"	"Sampled"	"Target"	40	"Not_Impaired"	74	"Not_Impaired"
"INRB98-024"	7516636.01957469	12592467.9623668	180.49965	"1st"	"Sampled"	"Target"	26	"Impaired"	71	"Not_Impaired"
"INRB98-025"	7474144.84134386	12681328.8768111	57.70535	"2nd"	"Sampled"	"Target"	36	"Not_Impaired"	66	"Not_Impaired"
"INRB98-026"	7508017.35781747	12611121.4640431	57.70535	"2nd"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"INRB98-027"	7505325.9705604	12681952.9257901	180.49965	"1st"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"INRB98-028"	7478299.78070436	12648508.8525073	57.70535	"2nd"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"INRB98-029"	7490935.80151077	12616523.7490314	29.59298	"3rd"	"Sampled"	"Target"	34	"Not_Impaired"	68	"Not_Impaired"
"INRB98-030"	7452570.97228651	12627148.4888539	29.59298	"3rd"	"Sampled"	"Target"	32	"Not_Impaired"	52	"Not_Impaired"
