"siteID"	"xcoord"	"ycoord"	"wgt"	"Basin"	"Status"	"TNT"	"pH_Cat"	"Coliform_Cat"	"Oxygen"	"Turbidity"
"FLW03414-0014"	8635535.30529943	12860895.6969192	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	9.9	0.4
"FLW03414-0046"	8636135.6415458	12886782.52083	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0062"	8617834.05382504	12869125.5081372	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0078"	8673500.47844327	12883070.5336781	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0086"	8631884.12082407	12816428.4952609	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0118"	8607699.32955538	12856643.8649582	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0142"	8639268.45444424	12850344.5778303	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(5,50]"	4.39	0.6
"FLW03414-0174"	8636629.27298629	12885642.3975279	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0182"	8623607.09512905	12852081.0812892	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(6,8]"	"(0,5]"	9.37	1.6
"FLW03414-0206"	8666084.78245857	12863767.7272706	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	2.35	2
"FLW03414-0214"	8641695.97538345	12840878.9158589	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0246"	8623860.62720622	12833188.3241185	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0270"	8629978.96218148	12858465.9419733	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	8.35	1.1
"FLW03414-0302"	8633294.47780896	12884946.496921	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0334"	8660729.63094674	12845374.0969136	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0342"	8636024.75787193	12837919.0923973	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(6,8]"	"(0,5]"	6.57	5.3
"FLW03414-0374"	8625657.04446492	12812686.0387421	5.36904761904762	"NWFWMD-1"	"Dry"	"Target"	NA	NA	NA	NA
"FLW03414-0398"	8659479.19711601	12873777.1973495	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0438"	8620410.68181968	12837928.5307237	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0462"	8663058.82930526	12863888.5703721	5.36904761904762	"NWFWMD-1"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"FLW03414-0470"	8643070.83033838	12829869.0059363	5.36904761904762	"NWFWMD-1"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"FLW03414-0478"	8604333.10230677	12883969.4298965	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0502"	8599841.81423747	12862732.414821	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0510"	8679037.85359704	12875654.7467563	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	6.96	1.1
"FLW03414-0526"	8635083.3828246	12858359.3782548	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(5,50]"	6.62	1.2
"FLW03414-0558"	8634049.40086333	12889183.8932213	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0590"	8668888.72310078	12874234.3402933	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	3.37	0.6
"FLW03414-0598"	8632734.79016618	12836623.4624974	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(6,8]"	"(0,5]"	8.48	2.3
"FLW03414-0630"	8616449.48872674	12843503.2962295	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0654"	8636691.24054899	12856602.1781171	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	8.33	3.7
"FLW03414-0664"	8680215.22790887	12875166.8133447	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	8.06	1.5
"FLW03414-0674"	8601453.0117884	12852829.3253555	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0706"	8665307.22918373	12863373.472462	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0714"	8635241.76657104	12845401.2765041	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	9.14	1.6
"FLW03414-0722"	8601600.53572896	12882399.8800104	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0738"	8652951.63293186	12871599.2288237	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	8.51	0.85
"FLW03414-0770"	8637196.36051033	12884304.6990196	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0778"	8611791.0170628	12858004.4843166	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0802"	8628090.05831313	12856273.1739953	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	7.84	5.8
"FLW03414-0834"	8633628.46231051	12889147.1409361	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-0866"	8664845.53328235	12872287.1028596	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(6,8]"	"(0,5]"	3.77	0.6
"FLW03414-0874"	8632450.52160003	12831504.3937818	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0906"	8618566.52037789	12823714.7836475	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(6,8]"	"(0,5]"	7.28	16
"FLW03414-0930"	8634764.13939673	12860225.8788542	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	9.43	0.5
"FLW03414-0962"	8668871.49507774	12852729.8058642	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-0994"	8670273.41485332	12878426.7394705	5.36904761904762	"NWFWMD-1"	"Dry"	"Target"	NA	NA	NA	NA
"FLW03414-1002"	8665350.47864273	12833657.6296189	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-1034"	8606419.75738738	12847973.4596137	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1058"	8639120.8838399	12849760.4975559	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-1090"	8635322.88752634	12882553.0530145	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-1098"	8624365.57091801	12847087.3798691	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1122"	8662230.92759133	12839830.9520623	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-1130"	8640331.71185616	12826372.2262282	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(5,50]"	7.17	0.6
"FLW03414-1162"	8627840.45441714	12822648.1667719	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(6,8]"	"(500,5e+03]"	9.56	30
"FLW03414-1186"	8639212.94230484	12867251.8868162	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1218"	8667344.78248276	12856406.6840798	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-1234"	8606574.43763949	12873273.392642	5.36904761904762	"NWFWMD-1"	"Dry"	"Target"	NA	NA	NA	NA
"FLW03414-1250"	8657637.85814955	12876128.074355	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1290"	8608444.52369604	12855601.5903108	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1314"	8633362.65576939	12852454.625521	5.36904761904762	"NWFWMD-1"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"FLW03414-1346"	8633341.85276099	12887735.211498	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	7.91	3.8
"FLW03414-1378"	8663215.40218086	12873238.5575757	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1386"	8637932.86932234	12840107.6879587	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	8.14	1.2
"FLW03414-1418"	8630131.44450729	12814331.8122159	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
"FLW03414-1442"	8639783.69455798	12862416.7990047	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	7.28	0.75
"FLW03414-1474"	8637492.30954931	12887043.6872218	5.36904761904762	"NWFWMD-1"	"Physical_Barrier"	"Target"	NA	NA	NA	NA
"FLW03414-1506"	8661391.71241255	12870930.5601395	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	5.73	1.4
"FLW03414-1546"	8616569.92131443	12850610.1600072	5.36904761904762	"NWFWMD-1"	"Landowner_Denial"	"Target"	NA	NA	NA	NA
"FLW03414-1570"	8635689.55345308	12849063.1396155	5.36904761904762	"NWFWMD-1"	"Sampled"	"Target"	"(0,6]"	"(0,5]"	5.19	0.7
"FLW03414-1602"	8631309.275059	12884619.1377156	5.36904761904762	"NWFWMD-1"	"NonTarget"	"NonTarget"	NA	NA	NA	NA
